,timestamp,open,high,low,close
0,2010-07-12T00:00:00+00:00,0.0,0.1,0.1,0.1
1,2010-07-19T00:00:00+00:00,0.1,0.1,0.1,0.1
2,2010-07-26T00:00:00+00:00,0.1,0.1,0.1,0.1
3,2010-08-02T00:00:00+00:00,0.1,0.1,0.1,0.1
4,2010-08-09T00:00:00+00:00,0.1,0.1,0.1,0.1
5,2010-08-16T00:00:00+00:00,0.1,0.1,0.1,0.1
6,2010-08-23T00:00:00+00:00,0.1,0.1,0.1,0.1
7,2010-08-30T00:00:00+00:00,0.1,0.1,0.0,0.1
8,2010-09-06T00:00:00+00:00,0.1,0.1,0.1,0.1
9,2010-09-13T00:00:00+00:00,0.1,0.2,0.1,0.1
10,2010-09-20T00:00:00+00:00,0.1,0.1,0.1,0.1
11,2010-09-27T00:00:00+00:00,0.1,0.1,0.1,0.1
12,2010-10-04T00:00:00+00:00,0.1,0.1,0.0,0.1
13,2010-10-11T00:00:00+00:00,0.1,0.1,0.1,0.1
14,2010-10-18T00:00:00+00:00,0.1,0.2,0.1,0.1
15,2010-10-25T00:00:00+00:00,0.1,0.2,0.1,0.2
16,2010-11-01T00:00:00+00:00,0.2,0.5,0.1,0.3
17,2010-11-08T00:00:00+00:00,0.3,0.4,0.1,0.3
18,2010-11-15T00:00:00+00:00,0.3,0.3,0.2,0.3
19,2010-11-22T00:00:00+00:00,0.3,0.3,0.3,0.3
20,2010-11-29T00:00:00+00:00,0.3,0.3,0.2,0.2
21,2010-12-06T00:00:00+00:00,0.2,0.2,0.2,0.2
22,2010-12-13T00:00:00+00:00,0.2,0.3,0.2,0.2
23,2010-12-20T00:00:00+00:00,0.2,0.3,0.2,0.3
24,2010-12-27T00:00:00+00:00,0.3,0.3,0.3,0.3
25,2011-01-03T00:00:00+00:00,0.3,0.3,0.3,0.3
26,2011-01-10T00:00:00+00:00,0.3,0.4,0.3,0.4
27,2011-01-17T00:00:00+00:00,0.4,0.4,0.3,0.4
28,2011-01-24T00:00:00+00:00,0.4,0.5,0.4,0.5
29,2011-01-31T00:00:00+00:00,0.5,0.9,0.5,0.9
30,2011-02-07T00:00:00+00:00,0.9,1.1,0.8,1.0
31,2011-02-14T00:00:00+00:00,1.0,1.1,0.8,0.9
32,2011-02-21T00:00:00+00:00,0.9,1.0,0.8,0.9
33,2011-02-28T00:00:00+00:00,0.9,1.0,0.8,0.9
34,2011-03-07T00:00:00+00:00,0.9,0.9,0.8,0.9
35,2011-03-14T00:00:00+00:00,0.9,0.9,0.7,0.7
36,2011-03-21T00:00:00+00:00,0.7,0.9,0.7,0.8
37,2011-03-28T00:00:00+00:00,0.8,0.9,0.8,0.8
38,2011-04-04T00:00:00+00:00,0.8,0.8,0.6,0.7
39,2011-04-11T00:00:00+00:00,0.7,1.1,0.7,1.1
40,2011-04-18T00:00:00+00:00,1.1,2.0,1.1,1.6
41,2011-04-25T00:00:00+00:00,1.6,4.2,1.5,3.0
42,2011-05-02T00:00:00+00:00,3.0,3.9,3.0,3.9
43,2011-05-09T00:00:00+00:00,3.9,8.9,3.7,7.0
44,2011-05-16T00:00:00+00:00,7.0,8.5,5.6,6.7
45,2011-05-23T00:00:00+00:00,6.7,9.3,6.7,8.4
46,2011-05-30T00:00:00+00:00,8.4,19.0,8.1,16.7
47,2011-06-06T00:00:00+00:00,16.7,31.9,10.3,18.5
48,2011-06-13T00:00:00+00:00,18.5,24.5,13.0,17.5
49,2011-06-20T00:00:00+00:00,17.5,17.5,14.0,16.5
50,2011-06-27T00:00:00+00:00,16.5,18.0,15.0,15.4
51,2011-07-04T00:00:00+00:00,15.4,16.5,11.0,14.9
52,2011-07-11T00:00:00+00:00,14.9,15.2,13.0,13.2
53,2011-07-18T00:00:00+00:00,13.2,14.7,12.5,14.0
54,2011-07-25T00:00:00+00:00,14.0,14.9,12.8,13.4
55,2011-08-01T00:00:00+00:00,13.4,13.6,5.7,7.9
56,2011-08-08T00:00:00+00:00,7.9,12.1,7.1,10.8
57,2011-08-15T00:00:00+00:00,10.8,11.9,10.7,11.3
58,2011-08-22T00:00:00+00:00,11.3,11.5,7.6,9.1
59,2011-08-29T00:00:00+00:00,9.1,9.3,7.8,8.2
60,2011-09-05T00:00:00+00:00,8.2,8.2,4.2,5.9
61,2011-09-12T00:00:00+00:00,5.9,6.6,4.4,5.2
62,2011-09-19T00:00:00+00:00,5.2,6.8,4.9,5.3
63,2011-09-26T00:00:00+00:00,5.3,5.4,4.6,5.0
64,2011-10-03T00:00:00+00:00,5.0,5.0,3.8,4.1
65,2011-10-10T00:00:00+00:00,4.1,4.4,3.4,3.6
66,2011-10-17T00:00:00+00:00,3.6,3.7,2.0,3.2
67,2011-10-24T00:00:00+00:00,3.2,3.8,2.4,3.3
68,2011-10-31T00:00:00+00:00,3.3,3.4,2.8,3.0
69,2011-11-07T00:00:00+00:00,3.0,3.2,2.8,3.0
70,2011-11-14T00:00:00+00:00,3.0,3.0,2.0,2.2
71,2011-11-21T00:00:00+00:00,2.2,2.6,2.2,2.5
72,2011-11-28T00:00:00+00:00,2.5,3.1,2.4,2.8
73,2011-12-05T00:00:00+00:00,2.8,3.4,2.8,3.3
74,2011-12-12T00:00:00+00:00,3.3,3.3,3.0,3.2
75,2011-12-19T00:00:00+00:00,3.2,4.5,3.2,4.2
76,2011-12-26T00:00:00+00:00,4.2,5.5,3.8,5.3
77,2012-01-02T00:00:00+00:00,5.3,7.2,4.7,7.1
78,2012-01-09T00:00:00+00:00,7.1,7.2,5.8,7.0
79,2012-01-16T00:00:00+00:00,7.0,7.2,4.6,6.3
80,2012-01-23T00:00:00+00:00,6.3,6.4,5.1,5.4
81,2012-01-30T00:00:00+00:00,5.4,6.2,5.4,5.7
82,2012-02-06T00:00:00+00:00,5.7,6.0,5.3,5.5
83,2012-02-13T00:00:00+00:00,5.5,5.7,3.9,4.4
84,2012-02-20T00:00:00+00:00,4.4,5.2,4.2,4.9
85,2012-02-27T00:00:00+00:00,4.9,5.0,4.5,4.8
86,2012-03-05T00:00:00+00:00,4.8,5.1,4.8,4.9
87,2012-03-12T00:00:00+00:00,4.9,5.4,4.9,5.3
88,2012-03-19T00:00:00+00:00,5.3,5.3,4.3,4.6
89,2012-03-26T00:00:00+00:00,4.6,4.9,4.5,4.8
90,2012-04-02T00:00:00+00:00,4.8,5.1,4.6,4.8
91,2012-04-09T00:00:00+00:00,4.8,5.0,4.7,5.0
92,2012-04-16T00:00:00+00:00,5.0,5.5,4.9,5.2
93,2012-04-23T00:00:00+00:00,5.2,5.2,4.8,4.9
94,2012-04-30T00:00:00+00:00,4.9,5.2,4.9,5.1
95,2012-05-07T00:00:00+00:00,5.1,5.1,4.8,4.9
96,2012-05-14T00:00:00+00:00,4.9,5.2,4.9,5.1
97,2012-05-21T00:00:00+00:00,5.1,5.2,5.1,5.1
98,2012-05-28T00:00:00+00:00,5.1,5.3,5.0,5.2
99,2012-06-04T00:00:00+00:00,5.2,5.7,5.2,5.5
100,2012-06-11T00:00:00+00:00,5.5,6.6,5.4,6.2
101,2012-06-18T00:00:00+00:00,6.2,6.8,6.0,6.3
102,2012-06-25T00:00:00+00:00,6.3,6.7,6.2,6.6
103,2012-07-02T00:00:00+00:00,6.6,6.9,6.4,6.8
